Title,Source,Author,Abstract,Year,Web_Address
Sparks of Artificial General Intelligence: Early experiments with GPT-4,arXiv.org,"Sébastien Bubeck, Varun Chandrasekaran, Ronen Eldan, J. Gehrke, Eric Horvitz, Ece Kamar, Peter Lee, Y. Lee, Yuan-Fang Li, Scott M. Lundberg, Harsha Nori, Hamid Palangi, Marco Tulio Ribeiro, Yi Zhang","Artificial intelligence (AI) researchers have been developing and refining large language models (LLMs) that exhibit remarkable capabilities across a variety of domains and tasks, challenging our understanding of learning and cognition. The latest model developed by OpenAI, GPT-4, was trained using an unprecedented scale of compute and data. In this paper, we report on our investigation of an early version of GPT-4, when it was still in active development by OpenAI. We contend that (this early version of) GPT-4 is part of a new cohort of LLMs (along with ChatGPT and Google's PaLM for example) that exhibit more general intelligence than previous AI models. We discuss the rising capabilities and implications of these models. We demonstrate that, beyond its mastery of language, GPT-4 can solve novel and difficult tasks that span mathematics, coding, vision, medicine, law, psychology and more, without needing any special prompting. Moreover, in all of these tasks, GPT-4's performance is strikingly close to human-level performance, and often vastly surpasses prior models such as ChatGPT. Given the breadth and depth of GPT-4's capabilities, we believe that it could reasonably be viewed as an early (yet still incomplete) version of an artificial general intelligence (AGI) system. In our exploration of GPT-4, we put special emphasis on discovering its limitations, and we discuss the challenges ahead for advancing towards deeper and more comprehensive versions of AGI, including the possible need for pursuing a new paradigm that moves beyond next-word prediction. We conclude with reflections on societal influences of the recent technological leap and future research directions.",2023.0,https://www.semanticscholar.org/paper/574beee702be3856d60aa482ec725168fe64fc99
The Case Experience of Integrating the SDGs into Corporate Strategies for Financial Risk Management Based on Social Responsibility (with the Example of Russian TNCs),Inproceedings,"A. S. Kharlanov, Y. V. Bazhdanova, Teimuraz A. Kemkhashvili, N. G. Sapozhnikova",": The motivation of this research consists in the following: the traditional commercial approach to ﬁnancial risk management amid economic crises implies the reduction of corporate social responsibility, based on the assumption that this responsibility raises the ﬁnancial risk of business.",2022.0,https://www.semanticscholar.org/paper/7e2d0d3c743444b9340ff074aa4845b4d1b3f505
The Forthcoming Artificial Intelligence (AI) Revolution: Its Impact on Society and Firms,Futures Journal,"Makridakis, S.",Artificial intelligence is poised to revolutionize society and firms globally with its profound impact on various aspects of operations and decision-making within organizations.,2017.0,https://dx.doi.org/10.1016/J.FUTURES.2017.03.006
The Impact of Artificial Intelligence on Business Strategy and Decision-Making Processes,ResearchGate,,,,https://www.researchgate.net/publication/376307798_The_Impact_of_Artificial_Intelligence_on_Business_Strategy_and_Decision-Making_Processes
The Impact of Artificial Intelligence on Firm Performance,NCBI,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9022026/
The Impact of Artificial Intelligence on Organizational Justice,MDPI,,,,https://www.mdpi.com/2075-5309/14/1/259
"The Impact of Artificial Intelligence on Society, Education, and Work",International Journal of Educational Development,"Edwards, N.",AI shapes global society through autonomous systems.,2022.0,https://dx.doi.org/10.22492/issn.2186-2303.2022.1
"The Impact of Artificial Intelligence on Society, Education, and Work: Global Society in the Age of Autonomous Systems",International Journal of Computer Science,"Kodirov, Z. Z.",Artificial intelligence technologies are discussed for their impact on various sectors.,2022.0,https://dx.doi.org/10.47191/ijcsrr/v5-i2-31
The Relationship of Artificial Intelligence Opportunity Perception and Employee Career Development,NCBI,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9915176/
The impact of AI on business,MicroSourcing,,,,https://www.microsourcing.com/learn/blog/the-impact-of-ai-on-business/
The impact of artificial intelligence on the future of workforces in the US,White House,,,,https://www.whitehouse.gov/wp-content/uploads/2022/12/TTC-EC-CEA-AI-Report-12052022-1.pdf
Thematic Analysis through Artificial Intelligence (AI),NSUWorks,,,,https://nsuworks.nova.edu/cgi/viewcontent.cgi?article=7046&context=tqr
Turning Nature into an Asset: Corporate Strategies for Rent-Seeking,Assetization,L. Levidow,"Since the turn of the twentyfirst century, financial concepts have become prevalent in managing natural resources.",2020.0,https://www.semanticscholar.org/paper/c84d508673a6ed53f0d09835467fc01887fe2307
